@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
11.83721,17.91833,998
7.8153844,7.970894,999
6.0595236,5.339322,1000
6.7777777,8.475819,1001
5.724138,8.762104,1002
7.2686567,11.416905,1003
4.980198,6.4270163,1004
5.872093,6.699178,1005
5.918605,6.9033446,1006
7.5147057,13.072752,1007
10.408163,19.892485,1008
11.333333,20.324041,1009
15.90625,28.676384,1010
8.877193,17.79027,1011
8.350877,12.951314,1012
4.970588,5.338458,1013
7.169014,9.943482,1014
7.5384617,10.797545,1015
6.035714,7.6833873,1016
6.231707,8.301188,1017
5.0,5.146343,1018
6.605263,8.064018,1019
6.468354,9.138644,1020
6.76,8.773961,1021
6.810811,7.764569,1022
7.0555553,7.359591,1023
6.0,8.382053,1024
4.4513273,6.8381944,1025
4.866667,3.9618819,1026
4.685185,4.394121,1027
7.2615385,12.804178,1028
6.8,10.814805,1029
5.2474227,10.641323,1030
5.039604,4.391533,1031
5.9418607,5.196946,1032
6.0833335,5.219488,1033
7.6666665,5.338066,1034
5.072165,4.7520967,1035
4.9514565,4.7712297,1036
6.786667,5.915614,1037
6.125,6.4930253,1038
5.061856,7.1144032,1039
11.288889,11.962204,1040
8.627119,10.39377,1041
8.754386,11.542873,1042
5.8352942,7.961447,1043
5.3229165,6.993293,1044
4.961165,8.110789,1045
6.0,10.06485,1046
6.7222223,11.553285,1047
12.146341,11.794089,1048
