@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.4375508,0.54386246,0.0014938342,5.39001E-4,262
0.48789632,0.5067096,0.0025903746,7.5062545E-4,263
0.7316451,0.25650817,0.0018344315,5.732675E-4,264
0.7272397,0.2654812,7.885478E-4,2.2013637E-4,265
0.7004778,0.2921261,9.78951E-4,2.7028832E-4,266
0.69847006,0.28586373,6.2245555E-4,3.5619372E-4,267
0.76969236,0.21014237,0.0018176661,2.866966E-4,268
0.77122164,0.21158549,0.0015897163,2.3389778E-4,269
0.78301877,0.19236779,0.0010448936,3.5990748E-4,270
0.6627467,0.31546476,0.0022503736,7.422567E-4,271
0.76173383,0.17310457,0.0023705417,9.857576E-4,272
0.8531896,0.10728752,0.0015002358,9.6053927E-4,273
0.87008405,0.09243073,0.002358577,0.0010190009,274
0.9002247,0.07558363,0.0012874411,7.161683E-4,275
0.86615855,0.10657878,0.0020768146,7.3369045E-4,276
0.89218444,0.08327411,0.0013050165,7.3888386E-4,277
0.80226445,0.18114898,7.654571E-4,2.4619928E-4,278
0.76589876,0.21429014,0.001671155,3.054224E-4,279
0.6962959,0.28095427,0.0027061545,2.6506017E-4,280
0.69390273,0.27627027,0.0023284317,2.6139108E-4,281
0.70534146,0.24417646,0.0027444,2.6356857E-4,282
0.72549987,0.23419861,0.0016051847,3.856531E-4,283
0.5408222,0.41466385,0.0017466516,4.233953E-4,284
0.6017543,0.32971278,0.0010065205,0.0012372083,285
0.6546095,0.24086072,0.0028615806,0.0012825392,286
0.717956,0.19051899,0.0019254633,9.4302115E-4,287
0.7460167,0.1637621,0.0021890427,0.0011707818,288
0.7418752,0.18461843,0.00211635,0.0012263447,289
0.6799565,0.25117618,0.0020175301,0.0014910778,290
0.70537895,0.26681995,0.0018835851,0.0011751876,291
0.6608522,0.28312552,0.003632577,0.001482304,292
0.7684346,0.19976468,0.0027098258,0.0024487649,293
0.82427776,0.15151508,0.0017826253,0.0019253674,294
0.8734921,0.08812316,0.0017024009,9.1482647E-4,295
0.70062786,0.25199968,0.0047954787,0.0012389072,296
0.7053964,0.24831897,0.003335945,0.001144907,297
0.71608835,0.2708206,0.0018882551,3.8512558E-4,298
0.7258513,0.26241985,0.0020860091,1.7940674E-4,299
0.7536745,0.23093288,0.0018164788,2.4875652E-4,300
0.8191244,0.16292794,0.0012164181,2.8687983E-4,301
0.74499077,0.23371245,7.245303E-4,3.1542112E-4,302
0.79517543,0.1795555,0.0019507124,1.9315768E-4,303
0.8125707,0.17564929,0.0022759067,3.7842643E-4,304
0.8560604,0.12797338,0.002387594,3.904803E-4,305
0.8676016,0.12786247,0.0028826683,6.883181E-4,306
0.8461368,0.149457,0.0021799873,0.0010184655,307
0.7669117,0.22892402,0.0022467424,9.6798706E-4,308
0.7033487,0.29191685,0.0013984126,6.63879E-4,309
0.69739664,0.2977326,9.1663736E-4,0.0010134826,310
0.673074,0.3215121,0.0011276208,7.652826E-4,311
0.77722293,0.21725686,0.0013142206,2.906076E-4,312
0.8751506,0.120436735,5.018225E-4,8.65041E-5,313
0.8578035,0.13641897,7.874523E-4,1.0888038E-4,314
0.89182293,0.105839744,7.0370035E-4,1.6620947E-4,315
0.91759807,0.08115016,7.9397764E-4,7.0729264E-5,316
0.7010192,0.22873582,0.0014493077,1.7501158E-4,317
0.7912261,0.15741248,0.0010662613,2.1891404E-4,318
0.90032494,0.08949487,6.271268E-4,4.06419E-4,319
0.9440032,0.054587957,5.071045E-4,1.6663429E-4,320
0.8392657,0.15772837,0.0016817224,6.7184615E-4,321
0.90017736,0.09724768,7.892264E-4,4.0636206E-4,322
0.93928903,0.059685934,5.5499753E-4,4.4509207E-4,323
0.82833505,0.15427469,8.9960697E-4,4.1340105E-4,324
0.7281216,0.21198748,7.0765975E-4,3.003202E-4,325
0.86968035,0.10331985,6.2460866E-4,6.2355265E-4,326
0.8673767,0.12747367,7.86444E-4,7.598938E-4,327
0.94326127,0.05549595,3.7605333E-4,2.615245E-4,328
0.96952593,0.019590417,2.3171966E-4,2.0851824E-4,329
0.97247136,0.025490994,6.4651674E-4,2.837066E-4,330
0.98948824,0.009737796,3.3255975E-4,2.4510964E-4,331
0.92700666,0.06962357,7.494222E-4,2.8646548E-4,332
0.69459647,0.260226,0.0045292657,5.2052876E-4,333
0.65633696,0.316175,0.0049428362,5.102444E-4,334
0.63113844,0.31537107,0.0050222753,1.7371378E-4,335
0.93725145,0.048453793,7.478402E-4,4.8856793E-5,336
0.98884094,0.009043528,1.659272E-4,1.043598E-5,337
0.9995556,2.879312E-4,7.575309E-5,7.855541E-5,338
0.68645644,0.30700612,0.0019087866,2.0345631E-4,339
0.54134434,0.40621588,0.010405235,3.2589294E-4,340
0.8066758,0.18271944,0.0016768978,1.5948202E-4,341
