@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
3003.6714,1391
2431.0098,1392
2747.7493,1393
2398.449,1394
2609.8018,1395
2640.3286,1396
2510.0479,1397
2584.0151,1398
2964.0955,1399
3288.042,1400
3037.7485,1401
3117.8103,1402
3293.4648,1403
2786.0073,1404
3090.1143,1405
2932.221,1406
2914.9043,1407
2804.4753,1408
2922.2202,1409
2806.8591,1410
2991.161,1411
2455.3916,1412
2542.0417,1413
2993.364,1414
3281.0232,1415
3218.6643,1416
2860.0876,1417
2783.3083,1418
2438.5767,1419
2602.6633,1420
2654.5435,1421
2742.125,1422
2684.179,1423
2741.695,1424
2987.2266,1425
3016.195,1426
2972.2776,1427
3239.0906,1428
3565.9507,1429
3253.0527,1430
3506.9788,1431
2901.79,1432
2973.0034,1433
3134.1765,1434
2829.8577,1435
2917.5098,1436
2796.4146,1437
2435.539,1438
2453.6475,1439
2127.5864,1440
2073.2783,1441
1965.0548,1442
2075.585,1443
1833.1531,1444
2192.2832,1445
1990.0712,1446
2084.1763,1447
2304.6372,1448
2346.1985,1449
2217.0813,1450
2112.7517,1451
2758.414,1452
2388.1733,1453
2334.11,1454
2341.1416,1455
2404.0203,1456
2164.4077,1457
2357.6458,1458
2319.8804,1459
2451.825,1460
3053.178,1461
2306.1992,1462
2560.3147,1463
2480.5286,1464
2156.3472,1465
2180.5632,1466
2298.0522,1467
2614.5051,1468
2549.3135,1469
3241.1042,1470
3196.1313,1471
3213.2683,1472
3453.7527,1473
3494.7131,1474
3369.4907,1475
3451.3403,1476
3377.0828,1477
2848.8022,1478
3291.5176,1479
3329.1194,1480
2362.1377,1481
2649.5186,1482
3220.6194,1483
3058.4385,1484
3337.872,1485
2589.939,1486
2517.756,1487
2679.2256,1488
2564.643,1489
2311.8022,1490
2032.3296,1491
2366.9277,1492
2151.2534,1493
2605.8687,1494
2786.9204,1495
3044.142,1496
