@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.97602063,0.82454216,0.67141664,0.7557882,480
0.96659166,0.6823121,0.8797876,0.7647673,481
0.8068373,0.8814686,0.75502956,0.81839424,482
0.708258,0.76191,0.6735067,0.77681637,483
0.7385143,0.7415562,0.8561683,0.8812538,484
0.9562455,0.7798286,0.87904686,0.79680336,485
0.6672717,0.8366669,0.84558064,0.7833616,486
0.820666,0.6210083,0.93804395,0.864007,487
0.83477455,0.67791224,0.85917675,0.8755726,488
0.9606155,0.6372091,0.8036999,0.8773611,489
0.87969434,0.87033045,0.77313775,0.82652634,490
0.93602765,0.8288035,0.8792109,0.7989411,491
0.7648354,0.70091224,0.9308429,0.7502896,492
0.9557319,0.8364203,0.865989,0.78052384,493
0.90808445,0.70077777,0.81093764,0.7932141,494
0.84061646,0.9086371,0.7722804,0.781637,495
0.91002107,0.7600194,0.7358752,0.70013225,496
0.9488941,0.83193135,0.7447991,0.8046549,497
0.86704576,0.8916891,0.84362525,0.83419484,498
0.9506416,0.81250685,0.8002696,0.86401016,499
0.8450903,0.8291387,0.76273817,0.78763205,500
0.9727534,0.68733793,0.80966276,0.8168537,501
0.9675444,0.8990693,0.8485131,0.85701203,502
0.9841631,0.68830794,0.7692581,0.8347786,503
0.98105764,0.8395134,0.78171504,0.8256418,504
0.8193275,0.7662213,0.7175081,0.8447517,505
0.8351708,0.84537673,0.8212419,0.7973792,506
0.93091494,0.775458,0.8626085,0.7322726,507
0.9514528,0.8367435,0.7790761,0.722684,508
