@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0502644,3660.6445,31.0,524
0.02637132,5038.7695,35.0,525
0.048139546,1033.5938,4.0,526
0.052302804,3402.246,184.0,527
0.03253899,5081.836,175.0,528
0.03457135,3574.5117,17.0,529
0.033404194,3574.5117,8.0,530
0.043325,3100.7812,16.0,531
0.051612392,818.2617,6.0,532
0.051412255,2799.3164,1.0,533
0.054604672,2540.918,8.0,534
0.03214732,4565.039,157.0,535
0.043273386,3445.3125,12.0,536
0.038421035,3746.7773,171.0,537
0.045654293,2799.3164,12.0,538
0.04303455,1507.3242,24.0,539
0.047634996,2756.25,9.0,540
0.032172102,1851.8555,7.0,541
0.03880772,861.3281,7.0,542
0.03922885,2928.5156,10.0,543
0.045117736,1291.9922,11.0,544
0.04975387,2928.5156,13.0,545
0.070455916,1033.5938,8.0,546
0.046501186,1851.8555,13.0,547
0.045615274,2368.6523,6.0,548
0.05413547,2928.5156,11.0,549
0.051783383,3574.5117,14.0,550
0.049514778,2627.0508,28.0,551
0.053686745,732.1289,26.0,552
0.05040161,2411.7188,5.0,553
0.07245041,3359.1797,18.0,554
0.049747605,3186.914,11.0,555
0.058763348,516.7969,6.0,556
0.05568323,559.8633,7.0,557
0.06291129,3531.4453,19.0,558
0.05650343,2282.5195,5.0,559
0.078411214,732.1289,5.0,560
0.042281114,1679.5898,17.0,561
0.04230333,3057.7148,21.0,562
0.066301286,2670.1172,27.0,563
0.045267515,2454.7852,36.0,564
0.05466923,732.1289,9.0,565
0.05447291,2799.3164,15.0,566
0.063157976,2497.8516,9.0,567
0.045040198,3359.1797,6.0,568
0.065880306,2670.1172,13.0,569
0.060316853,689.0625,9.0,570
0.044339333,3574.5117,35.0,571
0.049309656,732.1289,6.0,572
0.06121456,3359.1797,189.0,573
0.020097177,6330.7617,109.0,574
0.041207705,3789.8438,26.0,575
0.046993263,2540.918,10.0,576
0.044120055,3660.6445,54.0,577
0.036682945,1636.5234,15.0,578
0.038625486,2583.9844,8.0,579
0.03597384,3316.1133,27.0,580
0.023329245,4005.1758,11.0,581
0.045157615,2282.5195,15.0,582
0.032071777,3143.8477,8.0,583
0.040268704,1076.6602,10.0,584
0.060991537,3273.0469,12.0,585
0.041631784,516.7969,6.0,586
0.051095463,3488.379,34.0,587
0.031774033,3273.0469,4.0,588
0.03959413,2282.5195,16.0,589
0.04957914,2282.5195,3.0,590
0.034216706,2239.4531,17.0,591
0.03062829,2325.586,3.0,592
0.0512692,1119.7266,16.0,593
0.03920974,4866.504,167.0,594
0.038357716,2885.4492,11.0,595
0.027855733,1033.5938,4.0,596
0.051526874,2799.3164,15.0,597
0.031811215,818.2617,21.0,598
0.032315534,9560.742,43.0,599
0.031671103,1033.5938,16.0,600
0.0521179,1808.7891,5.0,601
0.039777778,1937.9883,14.0,602
0.03126437,1378.125,14.0,603
0.04527955,3919.043,28.0,604
0.03515733,1076.6602,20.0,605
0.039242312,3316.1133,59.0,606
0.05326213,1033.5938,11.0,607
0.04232412,2411.7188,9.0,608
0.036879078,2282.5195,16.0,609
0.050920952,3057.7148,13.0,610
0.037353493,1507.3242,22.0,611
0.036953725,1464.2578,27.0,612
0.03839609,2239.4531,20.0,613
0.04322185,775.1953,7.0,614
0.06308005,387.59766,2.0,615
0.050168633,1679.5898,22.0,616
0.08634981,1248.9258,7.0,617
0.047401868,861.3281,4.0,618
0.089695334,2756.25,12.0,619
0.05606414,990.52734,18.0,620
0.0620653,602.9297,7.0,621
0.043551303,1119.7266,13.0,622
0.032186963,559.8633,7.0,623
0.036770694,1119.7266,28.0,624
0.03669012,3832.9102,58.0,625
0.045935657,43.066406,1.0,626
0.047174953,3186.914,9.0,627
0.047777914,2756.25,4.0,628
0.055409186,2799.3164,17.0,629
0.04502256,3445.3125,184.0,630
0.046437528,3617.5781,12.0,631
0.046473403,4392.7734,171.0,632
0.033448573,2196.3867,19.0,633
0.04580427,6459.961,124.0,634
0.053354837,3746.7773,170.0,635
0.05660072,3445.3125,13.0,636
0.05713062,3402.246,10.0,637
0.044104405,3660.6445,185.0,638
0.056885608,559.8633,3.0,639
0.043764647,3143.8477,41.0,640
0.04637076,3746.7773,8.0,641
0.05961608,3402.246,19.0,642
0.03625076,1765.7227,7.0,643
0.043095186,3746.7773,172.0,644
0.059071824,1722.6562,10.0,645
0.050916966,2756.25,27.0,646
0.03340745,2110.254,19.0,647
0.056866407,2583.9844,23.0,648
0.0583496,1851.8555,21.0,649
0.05160729,1378.125,26.0,650
0.046487197,3445.3125,14.0,651
0.045706175,2411.7188,14.0,652
0.031923044,1765.7227,11.0,653
0.041420512,3316.1133,17.0,654
0.03972991,1679.5898,17.0,655
0.06690804,2756.25,4.0,656
0.04472534,3316.1133,15.0,657
0.051063616,86.13281,3.0,658
0.05361816,5426.367,16.0,659
0.03920477,6115.4297,38.0,660
0.046619814,4608.1055,18.0,661
0.05247803,4263.574,34.0,662
0.0530827,3402.246,10.0,663
0.053501997,2713.1836,19.0,664
0.055966634,3359.1797,14.0,665
0.04985115,2411.7188,16.0,666
0.03275185,3273.0469,181.0,667
0.051766284,3531.4453,22.0,668
0.05862185,1291.9922,2.0,669
0.05737606,2885.4492,10.0,670
0.042515684,1248.9258,9.0,671
0.046639416,2928.5156,12.0,672
0.0559089,3057.7148,18.0,673
0.05265526,2583.9844,11.0,674
0.08257968,861.3281,7.0,675
0.08189663,2583.9844,19.0,676
0.071977206,2799.3164,16.0,677
0.049287852,3359.1797,183.0,678
0.06494714,2454.7852,10.0,679
0.052196536,516.7969,5.0,680
0.046068586,2799.3164,9.0,681
0.04777574,1679.5898,22.0,682
0.033041216,1593.457,27.0,683
0.049198724,1593.457,13.0,684
0.04586256,2110.254,11.0,685
0.031551227,3186.914,20.0,686
0.053197004,3402.246,26.0,687
0.04038034,5469.4336,85.0,688
0.039236724,3574.5117,31.0,689
0.03717934,3057.7148,5.0,690
0.03736816,3875.9766,67.0,691
0.05058531,732.1289,1.0,692
0.041849118,3574.5117,10.0,693
0.03384071,645.9961,8.0,694
0.03157659,3229.9805,14.0,695
0.031788237,1636.5234,3.0,696
0.05101781,2411.7188,22.0,697
0.060985498,861.3281,1.0,698
0.066559784,861.3281,4.0,699
0.036425047,2799.3164,11.0,700
0.050506484,645.9961,40.0,701
0.07076603,2583.9844,22.0,702
0.029791003,2239.4531,3.0,703
0.047083836,3316.1133,10.0,704
0.032180384,3832.9102,174.0,705
0.0407707,3359.1797,14.0,706
0.034764033,947.46094,44.0,707
0.032237247,3316.1133,26.0,708
0.0345869,9905.273,26.0,709
0.029875614,2713.1836,15.0,710
0.051950544,1808.7891,18.0,711
0.05873689,1119.7266,16.0,712
0.049768165,3100.7812,9.0,713
0.060267128,1033.5938,5.0,714
0.052769277,3746.7773,173.0,715
0.039023824,1076.6602,24.0,716
0.034313463,2670.1172,2.0,717
0.042785566,5038.7695,169.0,718
0.05565799,516.7969,4.0,719
0.04079063,2411.7188,15.0,720
0.032618284,3919.043,17.0,721
0.029342093,1335.0586,14.0,722
0.07482445,2885.4492,10.0,723
0.046498764,3488.379,9.0,724
0.055490214,3574.5117,62.0,725
0.062189914,1248.9258,8.0,726
0.050275385,3531.4453,33.0,727
0.057946026,1679.5898,6.0,728
0.06752053,689.0625,5.0,729
0.10486552,2756.25,25.0,730
0.07256387,818.2617,15.0,731
0.03537736,2583.9844,8.0,732
0.04007976,904.39453,10.0,733
0.04255648,2756.25,68.0,734
0.038165577,3919.043,14.0,735
0.032215863,1076.6602,9.0,736
