@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.12536426,2627.0508,10.0,495
0.11977249,2627.0508,28.0,496
0.124770105,430.66406,15.0,497
0.06713866,2497.8516,12.0,498
0.1019406,430.66406,6.0,499
0.07070719,2497.8516,13.0,500
0.075419806,732.1289,25.0,501
0.075658984,430.66406,11.0,502
0.095038354,2282.5195,18.0,503
0.06922582,732.1289,23.0,504
0.14516547,129.19922,3.0,505
0.08065562,1248.9258,18.0,506
0.10602385,818.2617,17.0,507
0.083359,2756.25,21.0,508
0.1089633,818.2617,16.0,509
0.09062405,818.2617,12.0,510
0.14642818,559.8633,13.0,511
0.058631595,2670.1172,20.0,512
0.11456297,559.8633,27.0,513
0.08613419,344.53125,4.0,514
0.09251764,430.66406,20.0,515
0.059405934,2756.25,16.0,516
0.10642382,516.7969,22.0,517
0.08883777,2368.6523,27.0,518
0.1210603,2971.582,30.0,519
0.11187032,387.59766,8.0,520
0.08410566,430.66406,9.0,521
0.09663221,2325.586,14.0,522
0.12014542,3143.8477,17.0,523
0.09204027,2368.6523,26.0,524
0.093583584,2627.0508,26.0,525
0.072800115,2627.0508,40.0,526
0.06871283,2627.0508,12.0,527
0.112634934,2627.0508,28.0,528
0.08329364,2627.0508,13.0,529
0.11106914,2497.8516,26.0,530
0.097714014,2067.1875,18.0,531
0.07846759,2282.5195,14.0,532
0.09368222,2583.9844,10.0,533
0.07578881,732.1289,42.0,534
0.083566666,2540.918,18.0,535
0.12898546,2497.8516,28.0,536
0.09728423,2497.8516,17.0,537
0.093880884,2497.8516,14.0,538
0.06788403,3273.0469,24.0,539
0.07788665,2540.918,33.0,540
0.055802494,3143.8477,25.0,541
0.093807854,2756.25,14.0,542
0.18795806,301.46484,15.0,543
0.08303752,2540.918,16.0,544
0.09354019,1679.5898,16.0,545
0.13633424,516.7969,13.0,546
0.06741307,2627.0508,11.0,547
0.090484194,516.7969,7.0,548
0.14292018,344.53125,6.0,549
0.17133994,129.19922,3.0,550
0.059181187,3143.8477,14.0,551
0.18458956,430.66406,8.0,552
0.09269538,3186.914,189.0,553
0.093922414,559.8633,19.0,554
0.11169182,559.8633,14.0,555
0.08870016,1248.9258,19.0,556
0.12639394,1679.5898,16.0,557
0.20976667,172.26562,9.0,558
0.15043041,430.66406,9.0,559
0.13074118,1679.5898,17.0,560
0.079195715,2540.918,13.0,561
0.058808293,1248.9258,13.0,562
0.07788173,1679.5898,20.0,563
0.112678304,1679.5898,17.0,564
0.140414,1248.9258,15.0,565
0.12831424,1248.9258,22.0,566
0.13775447,1679.5898,28.0,567
0.10434218,1636.5234,15.0,568
0.10166306,258.39844,4.0,569
0.121214345,2756.25,20.0,570
0.07681397,1248.9258,20.0,571
0.071563795,3445.3125,20.0,572
0.10322817,473.73047,14.0,573
0.079437464,775.1953,8.0,574
0.20365778,86.13281,2.0,575
0.15246888,387.59766,5.0,576
0.095600486,732.1289,24.0,577
0.07918747,387.59766,5.0,578
0.067845285,2928.5156,14.0,579
0.09122303,2627.0508,23.0,580
0.10043088,2627.0508,49.0,581
0.087280646,2627.0508,13.0,582
0.07580927,129.19922,4.0,583
0.07693429,2627.0508,16.0,584
0.08000505,387.59766,5.0,585
0.095565625,301.46484,5.0,586
0.21393862,86.13281,4.0,587
0.10131397,990.52734,24.0,588
0.1473321,559.8633,9.0,589
0.16794941,129.19922,4.0,590
0.07718821,2756.25,14.0,591
0.063312,2756.25,34.0,592
0.10387929,2756.25,20.0,593
0.06490915,2368.6523,32.0,594
0.16171499,387.59766,10.0,595
0.048850384,2756.25,44.0,596
0.08585795,387.59766,6.0,597
0.08937615,559.8633,5.0,598
0.06660457,602.9297,26.0,599
0.10531209,86.13281,3.0,600
0.09483191,559.8633,10.0,601
