@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
278.73535,148.66269,985
323.69266,221.73055,986
305.26483,150.04965,987
316.26892,162.4328,988
283.0078,160.24464,989
278.73535,127.38653,990
315.8203,124.9833,991
285.46875,150.63069,992
310.88562,129.52824,993
330.17578,173.101,994
327.86038,166.50015,995
286.3334,119.82539,996
279.93164,154.11249,997
319.73544,172.92676,998
281.12793,126.98145,999
304.07492,159.71716,1000
315.35724,175.15433,1001
298.93152,168.0795,1002
283.5205,128.54959,1003
274.69385,174.10399,1004
283.5205,187.5505,1005
326.71066,175.7635,1006
307.99005,178.70985,1007
265.1984,134.57506,1008
335.91797,224.71696,1009
306.68503,191.6503,1010
333.04688,147.07176,1011
274.69385,181.71153,1012
305.15625,147.8919,1013
292.85156,141.08063,1014
292.85156,136.11009,1015
317.61475,203.64252,1016
312.57877,155.45825,1017
305.37997,135.92506,1018
288.79825,163.33517,1019
338.78906,163.32462,1020
347.50134,199.10728,1021
317.61475,145.54837,1022
248.7085,123.50658,1023
326.47113,142.94992,1024
301.46484,176.33421,1025
306.84814,188.56927,1026
306.68503,139.75539,1027
323.69266,132.11655,1028
310.33145,159.36263,1029
297.5497,143.56654,1030
337.35352,179.32848,1031
286.69922,155.08788,1032
300.19818,172.73532,1033
283.5205,161.57875,1034
326.47113,167.96582,1035
351.95648,195.91386,1036
291.6211,152.37953,1037
317.61475,156.67163,1038
297.66486,169.18791,1039
306.68503,188.6949,1040
314.9231,162.72803,1041
306.84814,189.79475,1042
304.07492,182.08034,1043
257.29416,158.60747,1044
277.53906,154.76115,1045
312.23145,168.17969,1046
262.8155,137.50671,1047
278.7983,146.79094,1048
305.26483,134.72513,1049
326.47113,175.62749,1050
291.6211,175.34071,1051
267.71008,158.67427,1052
326.47113,166.53493,1053
270.038,138.25143,1054
305.15625,158.61119,1055
309.5398,164.49927,1056
277.53906,146.202,1057
301.46484,137.38434,1058
328.38135,174.85371,1059
308.19397,145.6914,1060
343.0462,179.35304,1061
310.88562,164.60384,1062
292.85156,134.93704,1063
316.26892,195.1725,1064
318.4304,217.00626,1065
305.37997,166.74951,1066
291.6211,149.21686,1067
