@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.18866809,2320
0.18450421,2321
0.20433503,2322
0.1834108,2323
0.19899713,2324
0.20702083,2325
0.21226625,2326
0.21787882,2327
0.16410652,2328
0.08214154,2329
0.04526957,2330
0.046338122,2331
0.11087753,2332
0.34072864,2333
0.29163858,2334
0.30206653,2335
0.28043818,2336
0.26076815,2337
0.28882137,2338
0.29830948,2339
0.26306447,2340
0.27681446,2341
0.2755064,2342
0.19928099,2343
0.116660975,2344
0.116029955,2345
0.292351,2346
0.25188026,2347
0.2555314,2348
0.2610176,2349
0.30053627,2350
0.30705807,2351
0.30376193,2352
0.2501904,2353
0.298384,2354
0.28693274,2355
0.26535553,2356
0.23987119,2357
0.24431466,2358
0.24877693,2359
0.2634832,2360
0.22329898,2361
0.23415332,2362
0.2373027,2363
0.2763201,2364
0.28194,2365
0.24626066,2366
0.24110885,2367
0.25152463,2368
0.23703612,2369
0.2596958,2370
0.28710702,2371
0.25339466,2372
0.29389653,2373
0.26101923,2374
0.21807465,2375
0.21552947,2376
0.2646328,2377
0.22661734,2378
0.25290933,2379
0.25672862,2380
0.19907594,2381
0.21124859,2382
0.14587642,2383
0.13110055,2384
0.12114793,2385
0.119852304,2386
0.14880691,2387
0.16637336,2388
0.19027255,2389
0.1949488,2390
0.18418473,2391
0.17269693,2392
0.18501407,2393
0.17604016,2394
0.1854337,2395
0.19457462,2396
0.18639342,2397
0.18936735,2398
0.17215104,2399
0.14366809,2400
0.17125025,2401
0.17438297,2402
0.17986274,2403
0.18561415,2404
0.19369772,2405
0.19722009,2406
0.19945472,2407
0.20924701,2408
0.17779538,2409
0.19429334,2410
0.21006235,2411
0.1992672,2412
0.19714949,2413
0.17378576,2414
0.18520923,2415
0.20776099,2416
0.22045098,2417
0.20067158,2418
0.17628084,2419
0.21877035,2420
0.18646082,2421
0.18291667,2422
0.19200559,2423
0.2343794,2424
0.2219871,2425
0.18831845,2426
0.16591768,2427
0.21833697,2428
0.18745467,2429
0.21776423,2430
0.17878717,2431
0.20506671,2432
0.23016404,2433
0.22768489,2434
0.23311932,2435
0.22060047,2436
0.19363743,2437
0.13809234,2438
0.117477395,2439
0.122756764,2440
0.1506006,2441
0.18625474,2442
0.18861733,2443
0.1756977,2444
0.17864487,2445
0.16561486,2446
0.16808969,2447
0.17070767,2448
0.17373206,2449
0.17706186,2450
0.16602895,2451
0.15940298,2452
0.1625262,2453
0.1999083,2454
0.23196878,2455
0.2039389,2456
0.17690232,2457
0.19316955,2458
0.19530697,2459
0.24783824,2460
0.22274755,2461
0.20153685,2462
0.22563654,2463
0.21004318,2464
0.21031594,2465
0.22260453,2466
0.23130919,2467
0.2286823,2468
0.2358173,2469
0.2393172,2470
0.22063626,2471
0.21633478,2472
