@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral slope' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-4.0485893E-6,967
-3.5613605E-6,968
-4.024699E-6,969
-4.9324535E-6,970
-3.6577837E-6,971
-5.0694557E-6,972
-4.8420684E-6,973
-5.326862E-6,974
-4.2392976E-6,975
-3.928859E-6,976
-4.3339433E-6,977
-4.3832415E-6,978
-6.121366E-6,979
-4.5558622E-6,980
-3.3770043E-6,981
-3.2207283E-6,982
-3.2418773E-6,983
-4.285061E-6,984
-4.9273362E-6,985
-6.774655E-6,986
-5.4390953E-6,987
-5.0878307E-6,988
-4.4265616E-6,989
-3.5779135E-6,990
-4.0147743E-6,991
-3.997568E-6,992
-5.3909926E-6,993
-4.81437E-6,994
-5.73462E-6,995
-5.646314E-6,996
-5.245E-6,997
-5.545082E-6,998
-5.274343E-6,999
-4.858363E-6,1000
-4.638703E-6,1001
-4.4512863E-6,1002
-4.7709977E-6,1003
-3.878601E-6,1004
-4.1785124E-6,1005
-5.0166873E-6,1006
-5.53292E-6,1007
-5.6164686E-6,1008
-4.120295E-6,1009
-4.0221703E-6,1010
-2.5142458E-6,1011
-3.6824156E-6,1012
-6.019344E-6,1013
-5.0735994E-6,1014
-4.8240117E-6,1015
-3.809666E-6,1016
-3.94023E-6,1017
-3.8161943E-6,1018
-3.825493E-6,1019
-3.6791264E-6,1020
-3.950869E-6,1021
-3.6802776E-6,1022
-4.2927563E-6,1023
-2.2926022E-6,1024
-1.3448641E-6,1025
-3.4914244E-6,1026
-4.054396E-6,1027
-5.269528E-6,1028
-4.527827E-6,1029
-3.658287E-6,1030
-4.429741E-6,1031
-4.9965797E-6,1032
-3.9744555E-6,1033
-3.7960801E-6,1034
-3.885265E-6,1035
-3.934073E-6,1036
-4.1183794E-6,1037
-3.6625213E-6,1038
-2.312855E-6,1039
-4.0845694E-6,1040
-6.0585235E-6,1041
-5.821632E-6,1042
-4.6052533E-6,1043
-2.9471546E-6,1044
-2.0170805E-6,1045
-2.437264E-6,1046
-2.3174678E-6,1047
-6.02868E-6,1048
-5.1362026E-6,1049
-5.097387E-6,1050
-3.7108362E-6,1051
-3.0684212E-6,1052
-3.23229E-6,1053
-3.7609163E-6,1054
-6.0281E-6,1055
-5.0576364E-6,1056
-3.2583457E-6,1057
-3.7396412E-6,1058
-3.4316931E-6,1059
-4.001817E-6,1060
-4.822446E-6,1061
-5.782019E-6,1062
-6.2752656E-6,1063
-5.1002426E-6,1064
-5.3258423E-6,1065
-4.7965755E-6,1066
-4.9899727E-6,1067
-6.5477407E-6,1068
-6.124043E-6,1069
-4.687933E-6,1070
-3.7837976E-6,1071
-3.873958E-6,1072
-3.5357152E-6,1073
-2.7325034E-6,1074
-5.436756E-6,1075
-6.4543756E-6,1076
