@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude of maximum in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.32439283,1327
0.3303408,1328
0.35455093,1329
0.3390965,1330
0.3317449,1331
0.32576442,1332
0.29198435,1333
0.30567655,1334
0.29653177,1335
0.23457561,1336
0.51995444,1337
0.35867718,1338
0.34057388,1339
0.2517962,1340
0.23830914,1341
0.29545596,1342
0.3577805,1343
0.3046222,1344
0.36453468,1345
0.23445573,1346
0.3073475,1347
0.3307655,1348
0.24868746,1349
0.2824208,1350
0.20475926,1351
0.2529662,1352
0.21331216,1353
0.27565104,1354
0.2544261,1355
0.29770115,1356
0.29076207,1357
0.57174367,1358
0.18881586,1359
0.24780425,1360
0.16514148,1361
0.23259063,1362
0.15173367,1363
0.18631783,1364
0.5478656,1365
0.24550323,1366
0.31147817,1367
0.18767603,1368
0.17026782,1369
0.15099283,1370
0.5306712,1371
0.3067036,1372
0.23556276,1373
0.22265273,1374
0.18337615,1375
0.10933593,1376
0.23624597,1377
0.23810302,1378
0.1349512,1379
0.21436144,1380
0.18057597,1381
0.15874043,1382
0.09681625,1383
0.1308479,1384
0.3734662,1385
0.34426764,1386
0.35533437,1387
0.10659164,1388
0.15941763,1389
0.17217779,1390
0.12453829,1391
0.5079127,1392
0.255023,1393
0.47454816,1394
0.21167701,1395
0.18481256,1396
0.20019308,1397
0.49288505,1398
0.29897344,1399
0.22039339,1400
0.1709158,1401
0.15856336,1402
0.112224706,1403
0.18804865,1404
0.15753564,1405
0.1992355,1406
0.15438668,1407
0.21512976,1408
0.2468851,1409
0.21542862,1410
0.1384558,1411
0.3136114,1412
0.43962625,1413
0.26108375,1414
0.16297927,1415
0.11059081,1416
0.18701896,1417
0.2159211,1418
0.4058702,1419
0.30207118,1420
0.27736753,1421
0.28796816,1422
0.2580149,1423
0.17280474,1424
0.1356624,1425
0.32975057,1426
0.36908424,1427
0.21935639,1428
0.09573055,1429
0.15445088,1430
0.12804262,1431
0.2148674,1432
0.117447905,1433
0.14269054,1434
0.15336688,1435
0.12864797,1436
0.23612398,1437
0.23337756,1438
0.2616349,1439
0.50971293,1440
0.2546373,1441
0.3481335,1442
0.2655817,1443
0.35326248,1444
0.37472525,1445
0.5169474,1446
0.36470276,1447
0.22375633,1448
0.20516022,1449
0.22990446,1450
0.2591329,1451
0.15358663,1452
0.27758518,1453
0.29493695,1454
0.28231004,1455
0.21666314,1456
0.30641222,1457
0.23624259,1458
0.24936706,1459
0.3553076,1460
0.2237079,1461
0.2943285,1462
0.22754161,1463
0.2715526,1464
0.29426068,1465
0.24152994,1466
0.36339825,1467
0.3785098,1468
0.55031043,1469
0.24343827,1470
0.18943313,1471
0.17267229,1472
0.107152894,1473
0.113774255,1474
0.09274075,1475
0.101080954,1476
0.10815839,1477
0.1938634,1478
0.16716266,1479
0.17221765,1480
0.44235265,1481
0.47115186,1482
0.19017482,1483
0.35538265,1484
0.15948676,1485
0.3124952,1486
0.3194044,1487
0.31920063,1488
0.19423696,1489
0.26080698,1490
0.41155452,1491
0.25689033,1492
0.484633,1493
0.24144907,1494
0.1769539,1495
0.13944359,1496
0.10911666,1497
0.13457821,1498
0.22209081,1499
0.17817783,1500
0.25168696,1501
0.24318825,1502
0.2914462,1503
0.32876787,1504
0.34527168,1505
0.16321662,1506
0.13358402,1507
0.3126098,1508
0.27030376,1509
0.2627661,1510
0.15422456,1511
0.18263489,1512
0.29260638,1513
0.2865329,1514
0.54142106,1515
0.45479345,1516
0.29290125,1517
0.13721447,1518
0.19602819,1519
0.1523896,1520
0.16407114,1521
0.4676717,1522
0.34108618,1523
0.46205783,1524
0.2206008,1525
0.20397344,1526
0.27829802,1527
0.30397442,1528
0.32162747,1529
0.37118578,1530
0.32647204,1531
0.22141817,1532
0.28825977,1533
0.34057736,1534
0.20427386,1535
0.4742829,1536
0.27765685,1537
0.26868948,1538
0.10810705,1539
0.105759874,1540
