@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral extent' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
387.59766,1647
990.52734,1648
2627.0508,1649
904.39453,1650
4306.6406,1651
473.73047,1652
2024.1211,1653
947.46094,1654
2454.7852,1655
258.39844,1656
387.59766,1657
3488.379,1658
3962.1094,1659
3574.5117,1660
3229.9805,1661
3100.7812,1662
516.7969,1663
387.59766,1664
344.53125,1665
1722.6562,1666
387.59766,1667
732.1289,1668
86.13281,1669
215.33203,1670
86.13281,1671
1636.5234,1672
1378.125,1673
904.39453,1674
861.3281,1675
2540.918,1676
1162.793,1677
689.0625,1678
301.46484,1679
2282.5195,1680
602.9297,1681
430.66406,1682
387.59766,1683
215.33203,1684
172.26562,1685
2971.582,1686
2024.1211,1687
732.1289,1688
2713.1836,1689
2971.582,1690
2842.3828,1691
2971.582,1692
