@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.05437423,3875.9766,172.0,407
0.063571535,2799.3164,9.0,408
0.08566843,1550.3906,19.0,409
0.09945954,2627.0508,17.0,410
0.07834016,2540.918,18.0,411
0.116090424,129.19922,5.0,412
0.1047656,430.66406,9.0,413
0.12606417,3316.1133,17.0,414
0.09515359,3143.8477,22.0,415
0.078409284,3186.914,16.0,416
0.107660554,43.066406,3.0,417
0.05248425,3143.8477,5.0,418
0.13938184,430.66406,11.0,419
0.065490246,2627.0508,19.0,420
0.07845617,2756.25,11.0,421
0.06500324,1636.5234,17.0,422
0.0745802,2713.1836,9.0,423
0.06468383,732.1289,10.0,424
0.10506586,732.1289,15.0,425
0.10979902,818.2617,11.0,426
0.065603346,1248.9258,14.0,427
0.09500506,1291.9922,13.0,428
0.08643064,1679.5898,17.0,429
0.07193246,2756.25,16.0,430
0.10187219,1248.9258,18.0,431
0.08664665,559.8633,7.0,432
0.060621206,2368.6523,11.0,433
0.094388634,2497.8516,16.0,434
0.08278517,2454.7852,14.0,435
0.0964144,3445.3125,183.0,436
0.06227894,645.9961,8.0,437
0.0861079,5555.5664,22.0,438
0.058718275,2454.7852,41.0,439
0.0582768,3919.043,14.0,440
0.05964276,732.1289,42.0,441
0.062960684,732.1289,37.0,442
0.075621694,2583.9844,10.0,443
0.07157816,2842.3828,17.0,444
0.08552269,732.1289,28.0,445
0.092229016,1679.5898,23.0,446
0.09759522,559.8633,10.0,447
0.077103056,559.8633,9.0,448
0.08132471,818.2617,10.0,449
0.07298639,818.2617,8.0,450
0.05822234,1679.5898,23.0,451
0.07399586,861.3281,16.0,452
0.094551936,1679.5898,28.0,453
0.08910672,861.3281,24.0,454
0.0854631,2368.6523,11.0,455
0.07917526,818.2617,16.0,456
0.073028825,2497.8516,12.0,457
0.063031346,2670.1172,13.0,458
0.09143199,1119.7266,24.0,459
0.12515128,689.0625,6.0,460
0.069813624,1119.7266,26.0,461
0.05712444,2411.7188,49.0,462
0.08287221,473.73047,11.0,463
0.046449237,1076.6602,3.0,464
0.057858847,2454.7852,14.0,465
0.056309905,775.1953,19.0,466
0.048257276,3057.7148,13.0,467
0.04261262,2756.25,19.0,468
0.05923496,602.9297,35.0,469
0.068127945,473.73047,6.0,470
0.052249093,3402.246,17.0,471
0.04856802,602.9297,6.0,472
0.08480782,559.8633,26.0,473
0.06759945,559.8633,4.0,474
0.058250055,2627.0508,19.0,475
0.062779196,3617.5781,11.0,476
0.07086152,2368.6523,24.0,477
0.09688754,3875.9766,31.0,478
0.061302043,861.3281,13.0,479
0.07923822,3919.043,57.0,480
0.11691348,3919.043,38.0,481
0.096274726,3919.043,180.0,482
0.08337099,990.52734,7.0,483
0.037708703,1033.5938,4.0,484
0.061248448,2627.0508,43.0,485
0.07855766,2756.25,11.0,486
0.05695363,2799.3164,14.0,487
0.05346254,559.8633,12.0,488
0.04487764,2583.9844,14.0,489
0.048177164,430.66406,6.0,490
0.05834562,2540.918,18.0,491
0.078724585,689.0625,9.0,492
0.05657439,861.3281,5.0,493
0.07344433,2627.0508,9.0,494
0.04721298,1033.5938,18.0,495
0.10440403,516.7969,9.0,496
0.0724761,2368.6523,17.0,497
0.061900374,516.7969,10.0,498
0.059427176,732.1289,26.0,499
0.059950143,602.9297,23.0,500
0.057233512,2411.7188,13.0,501
0.044762768,2713.1836,14.0,502
0.08210966,387.59766,11.0,503
0.060616873,3186.914,25.0,504
0.08849079,1550.3906,17.0,505
0.07874948,2756.25,34.0,506
0.087896146,258.39844,5.0,507
0.0716203,947.46094,13.0,508
0.09379907,2756.25,27.0,509
0.06441636,2497.8516,24.0,510
0.063445315,2411.7188,24.0,511
0.05476649,1119.7266,21.0,512
0.050918493,3531.4453,12.0,513
0.07818577,2756.25,17.0,514
0.08079739,2497.8516,31.0,515
